movie_name,movie_date,score,genre,movie_status,ori_lang,budget,revenue,country
A Good Day to Die Hard,03-20-2013 ,53,"Action, Thriller", Released, English,92000000,304249198,AU
The People We Hate at the Wedding,11-18-2022 ,63,Comedy, Released, English,110000000,271669046,AU
The Blair Witch Project,1999-09-12,63,"Horror, Mystery", Released, English,600000,248300000,AU
Escape Plan 2: Hades,06-29-2018 ,51,"Action, Crime, Thriller", Released, English,20000000,17500000,US
Ghostbusters,11-15-1984 ,75,"Comedy, Fantasy", Released, English,144000000,229008658,AU
Ghostbusters,11-15-1984 ,75,"Comedy, Fantasy", Released, English,30000000,295585416,AU
The Grudge,11-18-2004 ,59,"Horror, Mystery, Thriller", Released, English,10000000,187281115,AU
The Grudge,11-18-2004 ,59,"Horror, Mystery, Thriller", Released, English,10000000,49503117,AU
Cosas de amigos,04-28-2022 ,60,Comedy, Released," Spanish, Castilian",114200000,241031717,PE
Liao Zhai - Home for the Intimate Ghosts,1991-01-01,55,Fantasy, Released, Chinese,52400000,581428834,HK
Gumraah,2023-07-04,0,"Action, Crime, Thriller", Released, Hindi,213940000,175269999,IN
Legend Quest: The Legend of the Guanajuato Mummies,10-30-2014 ,79,"Animation, Horror, Adventure, Comedy, Family", Released," Spanish, Castilian",28859455,6300000,MX
Batman Returns,06-19-1992 ,69,"Action, Fantasy", Released, English,80000000,266824291,AU
Mom's Friend 2,2016-01-09,43,Romance, Released, Korean,139800000,558017045,KR
Pets United,2020-11-09,59,"Animation, Family, Adventure, Comedy", Released, English,120100000,612263067,AU
Superwho?,2022-02-02,64,"Comedy, Action", Released, French,43590000,7375119,FR
Cowboys & Aliens,08-18-2011 ,56,"Action, Science Fiction, Thriller, Western", Released, English,163000000,174822325,AU
Senior Year,05-13-2022 ,59,Comedy, Released, English,135159000,234980053,AU
Resident Evil: Degeneration,10-18-2008 ,68,"Animation, Horror, Action, Science Fiction", Released, English,157200000,798902641,AU
100% Wolf,05-29-2020 ,60,"Animation, Family, Fantasy", Released, English,19203586,9750139,AU
Boyz n the Hood,1991-12-11,76,"Crime, Drama", Released, English,6500000,56215095,AU
My Policeman,10-21-2022 ,79,"Drama, Romance", Released, English,82000000,451733161,US
Dragonball Evolution,02-27-2009 ,29,"Action, Adventure, Fantasy, Science Fiction, Thriller", Released, English,30000000,56511457,AU
Movie 43,2013-07-02,46,Comedy, Released, English,10000000,31164747,AU
Step Up 2: The Streets,03-20-2008 ,67,"Music, Drama, Romance", Released, English,23000000,150816700,AU
The Town of Ghosts,2022-08-01,20,"Thriller, Horror", Released, Chinese,12001040,38139010,CN
El lado salvaje,2022-01-12,50,"Thriller, Drama", Released," Spanish, Castilian",165600000,372589869,AR
Kuroko's Basketball the Movie: Last Game,03-18-2017 ,78,Animation, Released, Japanese,104000000,752740099,JP
Magic Mike,07-26-2012 ,62,"Drama, Comedy", Released, English,7000000,170549753,AU
Overlord,12-13-2018 ,67,"Horror, War, Science Fiction", Released, English,38000000,39178189,AU
Aladdin and the King of Thieves,07-31-1996 ,63,"Adventure, Animation, Family", Released, English,94944000,340525143,AU
Tomorrowland,05-28-2015 ,62,"Adventure, Family, Mystery, Science Fiction", Released, English,170000000,206627518,AU
Friend Couples: Swapping,02-14-2017 ,30,"Romance, Drama", Released, Korean,15541000,38139010,KR
The Rock,06-21-1996 ,71,"Action, Adventure, Thriller", Released, English,75000000,336069511,AU
The Mountain Between Us,10-19-2017 ,66,"Drama, Adventure, Romance", Released, English,35000000,62832209,AU
He's Just Not That Into You,2009-09-02,65,"Comedy, Romance, Drama", Released, English,40000000,181053657,AU
Wolf Children,08-18-2021 ,82,"Animation, Family, Drama, Fantasy, Adventure", Released, Japanese,7911024,55060661,AU
Of Gods and Men,2010-08-09,66,"Drama, History", Released, French,4000000,41424067,FR
Trinity Seven 2: Heaven's Library & Crimson Lord,03-29-2019 ,80,"Animation, Action, Fantasy, Comedy", Released, Japanese,20111197,15712,JP
Secret Magic Control Agency,03-25-2021 ,72,"Animation, Comedy, Fantasy", Released, Russian,101600000,525056307,AU
The Princess Diaries 2: Royal Engagement,10-15-2004 ,67,"Comedy, Drama, Family, Romance", Released, English,45000000,134713435,AU
8 Mile,01-16-2003 ,71,"Drama, Music", Released, English,41000000,245768384,AU
"Lagunas, la guarida del diablo",2022-11-05,48,Horror, Released," Spanish, Castilian",147180000,222629231,ES
xXx,2002-03-10,59,"Action, Adventure, Thriller", Released, English,70000000,267200000,AU
Hunter x Hunter: The Last Mission,12-27-2013 ,69,"Adventure, Animation, Action, Fantasy", Released, Japanese,74600000,7449778,JP
Alvin and the Chipmunks: The Road Chip,12-26-2015 ,60,"Adventure, Animation, Comedy, Family", Released, English,90000000,249517956,AU
Point Break,1992-01-01,71,"Action, Thriller, Crime", Released, English,100000000,126704591,AU
Point Break,1992-01-01,71,"Action, Thriller, Crime", Released, English,24000000,83531958,AU
Showing Up,2023-07-04,65,"Comedy, Drama", Released, English,73000000,572490615,US
The Sword,10-18-2021 ,53,, Released, Chinese,159000000,279278382,CN
Epic,06-13-2013 ,65,"Animation, Adventure, Family, Fantasy", Released, English,100000000,262794441,AU
Berserk: The Golden Age Arc I - The Egg of the King,2012-03-02,74,"Action, Adventure, Fantasy, Animation", Released, Japanese,113400000,611894287,JP
Itâ€™s Your Fault That My Heart Beats,2021-04-06,73,"Romance, Drama", Released, Japanese,127520000,616483742,JP
Night at the Museum: Battle of the Smithsonian,05-21-2009 ,61,"Adventure, Fantasy, Action, Comedy, Family", Released, English,150000000,402231063,AU
Hop,2011-07-04,57,"Animation, Comedy, Family", Released, English,63000000,188494082,AU
Highlander,07-17-1986 ,69,"Adventure, Action, Fantasy", Released, English,16000000,12900000,AU
Raped by an Angel 3: Sexual Fantasy of the Chief Executive,1998-03-07,52,Thriller, Released, Cantonese,149000000,298705309,HK
The Irishman,2019-06-11,76,"Crime, Drama, History", Released, English,159000000,914706,AU
Gone Mom: The Disappearance of Jennifer Dulos,2021-05-06,78,"TV Movie, Thriller, Crime", Released, English,132200000,496218384,US
Walking with Dinosaurs,2014-01-01,61,"Animation, Family, Adventure", Released, English,80000000,123368842,AU
The Accountant,12-16-2016 ,71,"Crime, Thriller, Drama", Released, English,40000000,152962083,AU
"Me, Myself & Irene",06-22-2000 ,66,Comedy, Released, English,51000000,149270999,AU
Never Back Down 2: The Beatdown,09-13-2011 ,65,"Drama, Action", Released, English,3000000,0,US
The Huntsman: Winter's War,2016-07-04,63,"Action, Adventure, Drama", Released, English,115000000,164989338,AU
Marriage Story,2019-06-11,78,Drama, Released, English,18000000,321463,AU
17 Again,2009-11-03,63,Comedy, Released, English,40000000,139474906,AU
Carrie,2002-04-11,61,"Drama, Horror, TV Movie", Released, English,30000000,82409520,US
Carrie,2002-04-11,61,"Drama, Horror, TV Movie", Released, English,1800000,25886736,US
Ghost in the Shell,09-23-1995 ,79,"Action, Animation, Science Fiction", Released, Japanese,110000000,167910690,AU
Chungking Express,12-26-1995 ,80,"Drama, Comedy, Romance", Released, Cantonese,160000,59502343,AU
Charlie's Angels,11-14-2019 ,65,"Action, Adventure, Comedy", Released, English,90000000,259736090,AU
The Great Gatsby,05-30-2013 ,74,"Drama, Romance", Released, English,190000000,353640419,AU
The Great Gatsby,05-30-2013 ,74,"Drama, Romance", Released, English,7000000,26533200,AU
A Beautiful Mind,2001-11-12,79,"Drama, Romance", Released, English,78000000,317668058,AU
Monsters of Man,11-19-2020 ,65,Science Fiction, Released, English,1900000,192073715,AU
The Taste of Married Women,11-13-2018 ,0,, Released, Korean,167540000,175269999,CN
Rape Zombie: Lust of the Dead 5,2014-03-09,55,Horror, Released, Japanese,49200000,427304426,JP
Storks,09-22-2016 ,66,"Adventure, Animation, Comedy, Family", Released, English,70000000,183353431,AU
Triple Frontier,2019-06-03,63,"Action, Thriller, Crime, Adventure", Released, English,115000000,0,US
Moana,12-26-2016 ,76,"Adventure, Comedy, Family, Animation", Released, English,150000000,630626714,AU
Beetlejuice,1988-08-09,74,"Fantasy, Comedy", Released, English,15000000,74456687,AU
Naruto the Movie: Ninja Clash in the Land of Snow,08-21-2004 ,73,"Comedy, Action, Animation, Adventure", Released, Japanese,7101535,17400000,JP
Barbie Mariposa & the Fairy Princess,08-26-2013 ,69,"Animation, Family, Fantasy", Released, English,131200000,518523023,GB
Don't Blame the Kid,05-13-2016 ,77,"Comedy, Romance", Released," Spanish, Castilian",105800000,667037175,MX
Young Mom 2,03-22-2019 ,10,Romance, Released, Korean,201940000,38157314,KR
Underwater,01-23-2020 ,63,"Horror, Science Fiction, Action, Adventure", Released, English,65000000,39177495,AU
Kate,2021-10-09,67,Action, Released, English,37800000,638719244,US
Mirai,06-16-2018 ,72,"Animation, Family, Fantasy, Adventure, Drama", Released, Japanese,33291535,27526961,AU
After Earth,2013-05-06,52,"Science Fiction, Action, Adventure", Released, English,130000000,251499665,AU
The Hitman's Bodyguard,08-31-2017 ,69,"Action, Comedy", Released, English,30000000,176586701,AU
Con Air,07-17-1997 ,67,"Action, Thriller, Crime", Released, English,80000000,224117573,AU
From Russia with Love,1964-02-01,71,"Action, Thriller, Adventure", Released, English,2500000,78900000,AU
The Wedding Ringer,2015-12-02,65,Comedy, Released, English,23000000,80171596,AU
Teenage Mutant Ninja Turtles,1990-02-08,66,"Science Fiction, Action, Adventure, Comedy, Family", Released, English,125000000,485004754,AU
Teenage Mutant Ninja Turtles,1990-02-08,66,"Science Fiction, Action, Adventure, Comedy, Family", Released, English,13500000,202000000,AU
Irreversible,2004-12-02,72,"Drama, Thriller, Crime, Mystery", Released, French,5400000,8133256,AU
Point Break,2016-01-01,59,"Action, Adventure, Crime, Thriller", Released, English,100000000,126704591,AU
Point Break,2016-01-01,59,"Action, Adventure, Crime, Thriller", Released, English,24000000,83531958,AU
Money Heist: The Phenomenon,2020-03-04,75,Documentary, Released," Spanish, Castilian",98800000,580810040,US
The Man from Earth: Holocene,10-13-2017 ,57,"Drama, Science Fiction", Released, English,136000000,214723903,US
Death Wish,2018-02-03,61,"Action, Crime, Drama, Thriller", Released, English,30000000,48575965,AU
10.0 Earthquake,10-15-2014 ,50,"Drama, Adventure, Action", Released, English,162400000,633353264,US
Paranormal Activity: The Marked Ones,01-30-2014 ,54,"Horror, Thriller", Released, English,5000000,90904854,AU
Blood Red Sky,07-23-2021 ,70,"Horror, Thriller, Action", Released, German,17739525,224582524,AU
The Others,2001-08-11,76,"Horror, Mystery, Thriller", Released, English,17000000,207765056,AU
Death Race,10-30-2008 ,62,"Action, Thriller, Science Fiction", Released, English,65000000,72516819,AU
Son of the Mask,02-18-2005 ,41,"Fantasy, Comedy, Family, Adventure", Released, English,100000000,59918422,US
Splatter: Naked Blood,02-20-1996 ,59,"Science Fiction, Horror", Released, Japanese,105800000,216113745,JP
The Beasts,07-20-2022 ,75,"Thriller, Drama", Released, Galician,113400000,448847740,FR
Riverdance: The Animated Adventure,01-14-2022 ,59,"Animation, Fantasy, Music, Adventure, Comedy, Family", Released, English,125400000,320224993,US
Fiona,10-26-2022 ,70,Horror, Released, English,128800000,366935804,US
21 Jump Street,03-14-2012 ,69,"Action, Comedy, Crime", Released, English,42000000,202812429,AU
"Confess, Fletch",09-16-2022 ,63,"Crime, Comedy, Mystery", Released, English,40748226,500000,US
CODA,2021-05-08,80,"Drama, Music, Romance", Released, English,10000000,2237618,AU
The Happening,2008-12-06,53,"Thriller, Science Fiction", Released, English,60000000,162778384,AU
Ouija: Origin of Evil,10-21-2016 ,61,Horror, Released, English,9000000,81831866,US
The House of the Lost on the Cape,08-27-2021 ,58,"Animation, Drama, Family", Released, Japanese,234400000,227785473,JP
Step Up 3D,2010-04-08,68,"Drama, Romance", Released, English,30000000,165889117,AU
The Babysitter: Killer Queen,2020-10-09,64,"Comedy, Horror", Released, English,51400000,632358004,AU
Yes Man,2009-01-01,67,"Comedy, Romance", Released, English,50000000,225990976,AU
Naruto ga Hokage Ni Natta Hi,2016-06-07,68,"Animation, Drama, Fantasy", Released, Japanese,143800000,530439143,JP
Mamma Mia!,2008-10-07,70,"Comedy, Romance", Released, English,52000000,590493991,AU
Ghost,10-25-1990 ,72,"Fantasy, Drama, Thriller, Mystery, Romance", Released, English,22000000,517599988,AU
Sanctum,2011-03-02,60,"Action, Thriller", Released, English,30000000,108957098,AU
Mrs. Harris Goes to Paris,10-27-2022 ,73,"Drama, Comedy", Released, English,13000000,31188330,AU
The Last 10 Years,2022-04-03,67,"Drama, Romance", Released, Japanese,53260004,22456368,JP
Unconditional,09-21-2012 ,68,Drama, Released, English,2000000,196163384,US
Inuyasha the Movie 3: Swords of an Honorable Ruler,12-20-2003 ,78,"Animation, Fantasy, Adventure", Released, Japanese,115200000,596365974,JP
Exorcist: The Beginning,08-20-2004 ,54,"Horror, Mystery, Thriller", Released, English,78000000,43957541,US
Dunkirk,07-20-2017 ,75,"War, Action, Drama", Released, English,150000000,512390011,AU
Aristotle and Dante Discover the Secrets of the Universe,2022-10-09,73,Drama, Released, English,71400000,751654707,CA
Meet the Spartans,02-28-2008 ,40,Comedy, Released, English,30000000,84646831,AU
Rape Zombie: Lust of the Dead 3,03-23-2013 ,58,"Horror, Comedy", Released, Japanese,147000000,595373443,JP
Chunin Exam on Fire! and Naruto vs. Konohamaru!,07-30-2011 ,67,"Animation, Action", Released, Japanese,109144000,305481707,JP
Mickey and Minnie Wish Upon a Christmas,2021-02-12,69,Animation, Released, English,117000000,733935300,US
No Good Deed,2014-12-09,60,"Crime, Thriller", Released, English,13200000,54323210,US
Percy Jackson: Sea of Monsters,08-15-2013 ,60,"Adventure, Family, Fantasy", Released, English,90000000,200859554,AU
Seitokai Yakuindomo the Movie 2,2021-01-01,63,"Animation, Comedy", Released, Japanese,83400000,191964060,JP
Sniper: Ghost Shooter,2016-02-08,64,"Action, Drama, War", Released, English,3000000,211802400,US
PelÃ©: Birth of a Legend,2016-06-05,74,Drama, Released, English,3006525,27312,US
The Founder,11-24-2016 ,71,"Drama, History", Released, English,15000000,24403192,AU
High School Musical 3: Senior Year,2008-11-10,66,"Comedy, Romance, Drama, Family, Music", Released, English,11000000,274392880,AU
Step Up Revolution,2012-02-08,69,"Music, Drama, Romance", Released, English,33000000,165552290,AU
The Social Network,10-28-2010 ,73,Drama, Released, English,40000000,224922135,AU
Game Night,2018-05-10,68,"Mystery, Comedy, Crime", Released, English,37000000,117378084,AU
Dragon Ball Z: Dead Zone,07-15-1989 ,67,"Animation, Action, Fantasy", Released, Japanese,73080000,14000000,JP
Bleeding Steel,12-22-2017 ,59,"Action, Science Fiction, Thriller", Released, Chinese,65000000,162758601,CN
Franco Escamilla: Eavesdropping,10-23-2022 ,87,Comedy, Released," Spanish, Castilian",151000000,1714444954,MX
The Courier,2021-01-04,70,"Thriller, History, Drama, Action", Released, English,57080000,26000000,AU
"Swapping, That Dangerous Sex",10-20-2020 ,0,Romance, Released, Korean,181600000,175269999,KR
Malicious,03-29-1973 ,71,Comedy, Released, Italian,40392400,109133,IT
Thunder Force,2021-09-04,56,"Action, Adventure, Comedy, Science Fiction", Released, English,139000000,283972948,AU
Zathura: A Space Adventure,2006-09-03,64,"Science Fiction, Adventure, Family", Released, English,65000000,65079104,AU
Pretty Woman,1990-03-05,74,"Comedy, Romance", Released, English,14000000,432566361,AU
Stromboli,2022-03-11,53,Drama, Released," Dutch, Flemish",119600000,362461687,NL
The Day After Tomorrow,05-27-2004 ,65,"Action, Adventure, Science Fiction, Thriller", Released, English,125000000,555840117,AU
Trigger Point,04-23-2021 ,65,"Action, Thriller", Released, English,77400000,313921159,US
The Nutcracker and the Four Realms,11-22-2018 ,61,"Fantasy, Adventure, Family", Released, English,132900000,170024300,AU
The In Between,2022-11-02,73,"Romance, Science Fiction, Drama", Released, English,142200000,782138972,US
Wonder,11-30-2017 ,82,"Drama, Family", Released, English,20000000,310824596,AU
Poker Face,11-22-2022 ,59,Thriller, Released, English,164900000,690959382,AU
Wanted,07-31-2008 ,65,"Action, Thriller, Crime", Released, English,75000000,342416460,AU
Trolls Holiday,2017-01-11,67,"Adventure, Animation, Family, Fantasy", Released, English,126000000,404506361,AU
Spy Kids 2: The Island of Lost Dreams,2003-09-01,56,"Action, Adventure, Family, Comedy, Science Fiction", Released, English,38000000,119721296,AU
47 Ronin,01-16-2014 ,62,"Drama, Action, Fantasy", Released, English,175000000,151716815,AU
Mirage,03-22-2019 ,75,"Thriller, Drama, Mystery, Fantasy", Released," Spanish, Castilian",13531702,17325485,AU
"Batman: The Dark Knight Returns, Part 2",2013-03-01,80,"Science Fiction, Action, Animation, Mystery", Released, English,3500000,0,AU
Friday the 13th,02-13-2009 ,57,Horror, Released, English,17000000,92670237,US
Friday the 13th,02-13-2009 ,57,Horror, Released, English,550000,59754601,US
Pride and Prejudice and Zombies,02-25-2016 ,62,"Romance, Horror, Comedy, Thriller", Released, English,28000000,16638300,AU
Freddy's Dead: The Final Nightmare,09-13-1991 ,53,"Horror, Thriller", Released, English,11000000,34900000,US
Mahjong Nights,2021-12-11,62,Drama, Released, Tagalog,110800000,408974526,PH
The Ant Bully,09-28-2006 ,57,"Fantasy, Adventure, Animation, Comedy, Family", Released, English,45000000,49610898,AU
Anna,2019-05-09,67,"Thriller, Action", Released, French,30000000,32825217,AU
Anna,2019-05-09,67,"Thriller, Action", Released, French,4357373,1200000,AU
The Man from Nowhere,2011-06-05,77,"Action, Thriller, Crime", Released, Korean,1255000,43059790,AU
Comrade,05-18-2006 ,60,"Action, Drama", Released, English,92200000,254504167,IL
"Batman: The Dark Knight Returns, Part 1",08-21-2012 ,77,"Science Fiction, Action, Animation, Mystery", Released, English,3500000,57369282,AU
EO,2023-06-04,66,Drama, Released, Polish,47220616,319773153,AU
Parasyte: Part 1,11-29-2014 ,71,"Science Fiction, Horror", Released, Japanese,134200000,638398633,JP
The Letters,2015-04-12,59,Drama, Released, English,88000000,503089617,US
Scooby-Doo 2: Monsters Unleashed,2004-01-04,60,"Mystery, Fantasy, Adventure, Comedy", Released, English,25000000,180856996,AU
Spies in Disguise,2020-01-01,77,"Animation, Action, Adventure, Comedy, Family", Released, English,100000000,165124093,AU
Porco Rosso,04-13-2005 ,78,"Family, Comedy, Animation, Adventure", Released, Japanese,132400000,663389709,AU
The Possession of Hannah Grace,11-30-2018 ,56,"Horror, Drama", Released, English,6000000,42873730,US
Erotic Tutoring,12-20-2016 ,54,"Romance, Comedy, Drama", Released, Korean,122400000,385649598,KR
Fantastic Four,2005-07-07,58,"Action, Adventure, Fantasy, Science Fiction", Released, English,87500000,333132750,AU
Army of Darkness,04-22-1993 ,73,"Fantasy, Horror, Comedy", Released, English,11000000,21502976,AU
Tomb Raider,2018-05-03,64,"Action, Adventure, Fantasy", Released, English,90000000,273477501,AU
Sky High,12-18-2020 ,61,"Action, Drama, Thriller", Released," Spanish, Castilian",35000000,83109359,ES
One Day,08-24-2011 ,74,"Drama, Romance", Released, English,15000000,59168692,AU
The Apostle,2014-01-10,65,Drama, Released, French,5000000,21277770,FR
Curse of Chucky,2013-08-10,59,"Horror, Thriller", Released, English,5000000,3800000,US
Rape Zombie: Lust of the Dead 2,03-23-2013 ,46,"Horror, Comedy", Released, Japanese,91700000,615402938,JP
Tenor,2022-04-05,72,"Comedy, Drama", Released, French,118000000,504735549,FR
Species,1995-03-08,59,"Science Fiction, Horror, Action", Released, English,35000000,113354449,AU
An American Werewolf in London,1981-01-09,74,"Horror, Comedy", Released, English,10000000,31973249,AU
Hellboy,08-19-2004 ,67,"Fantasy, Action", Released, English,60000000,99823958,AU
Hellboy,08-19-2004 ,67,"Fantasy, Action", Released, English,50000000,53956480,AU
The Communion Girl,2023-10-02,51,Horror, Released," Spanish, Castilian",108400000,218436575,ES
Event Horizon,1997-09-10,65,"Horror, Science Fiction, Mystery", Released, English,60000000,26673954,AU
Mad Max,1979-12-04,67,"Adventure, Action, Thriller, Science Fiction", Released, English,200000,99750000,AU
Scooby-Doo! Curse of the Lake Monster,06-29-2011 ,62,"Mystery, Fantasy, Comedy, Adventure", Released, English,76104000,510307975,AU
Journey to the Center of the Earth,12-16-1959 ,70,"Adventure, Fantasy, Family", Released, English,45000000,243180937,US
Widows,01-29-2019 ,65,"Crime, Thriller", Released, English,40000000,75984700,AU
Ivy + Bean: Doomed to Dance,2022-02-09,75,"Family, Comedy", Released, English,160300000,442517579,US
Escape from Alcatraz,1979-06-12,75,"Drama, Thriller", Released, English,8000000,43000000,AU
Motherly,09-23-2021 ,58,"Thriller, Horror", Released, English,107000000,297177664,CA
Leprechaun 3,1995-05-07,59,"Comedy, Horror", Released, English,166940000,321181282,US
A Night at the Kindergarten,12-28-2022 ,58,Comedy, Released, Polish,72440000,220176894,US
Quella provincia maliziosa,1975-01-01,37,Comedy, Released, Italian,58670000,385960548,IT
Cloudy Mountain,09-17-2021 ,75,"Action, Adventure, Drama", Released, Chinese,7292314,58340541,CN
Vanquish,05-31-2021 ,56,"Action, Crime, Thriller", Released, English,134200000,772865924,AU
Duende Maldito 2,1994-08-04,55,"Comedy, Horror", Released," Spanish, Castilian",2000000,2260622,US
Fugitive: The Curious Case of Carlos Ghosn,10-26-2022 ,65,Documentary, Released, English,38600000,542233172,US
Countdown,11-21-2019 ,63,"Horror, Thriller", Released, English,6500000,42176201,AU
13 Assassins,2011-08-09,73,"Adventure, Drama, Action", Released, Japanese,6000000,17555141,AU
Evan Almighty,2007-09-12,56,"Fantasy, Comedy, Family", Released, English,175000000,174131329,AU
Violence Porno: Rope and Rape,1982-01-06,30,Thriller, Released, Japanese,15541000,38139010,JP
Mr. Peabody & Sherman,03-27-2014 ,67,"Animation, Adventure, Family", Released, English,145000000,269806430,AU
The Orphanage,05-29-2008 ,72,"Horror, Drama, Thriller", Released," Spanish, Castilian",3400000,78638987,AU
Rurouni Kenshin Part I: Origins,08-25-2012 ,76,"Adventure, Action, Drama, History", Released, Japanese,25964965,61700000,JP
Passengers,12-29-2016 ,69,"Drama, Romance, Science Fiction", Released, English,110000000,302239672,AU
Black Emanuelle,11-27-1975 ,46,"Drama, Romance, Adventure", Released, Italian,116300000,909309627,IT
Officetel - Skillful Ones,2019-07-06,0,Romance, Released, Korean,181600000,175269999,KR
Ella Enchanted,12-16-2020 ,64,"Family, Fantasy, Comedy", Released, English,35000000,24200318,AU
The Terminal,06-17-2004 ,73,"Comedy, Drama", Released, English,75000000,218673959,AU
The Karate Kid,09-27-1984 ,72,"Action, Family, Drama", Released, English,40000000,351774938,AU
The Karate Kid,09-27-1984 ,72,"Action, Family, Drama", Released, English,8000000,90857623,AU
Mary Poppins,08-23-1965 ,76,"Comedy, Family, Fantasy", Released, English,6000000,102296470,AU
The Hunchback of Notre Dame II,03-19-2002 ,54,"Animation, Family, Comedy", Released, English,129000000,386147463,US
The Outsiders,12-15-1983 ,73,"Crime, Drama", Released, English,10000000,25707698,AU
In the Arms of an Assassin,2019-06-12,80,"Romance, Thriller", Released," Spanish, Castilian",39602530,425332,US
Bad Lieutenant: Port of Call - New Orleans,11-20-2009 ,61,"Drama, Crime", Released, English,25000000,10589102,US
Hello World,09-20-2019 ,73,"Animation, Romance, Science Fiction", Released, Japanese,135000000,575291089,JP
Garfield: A Tail of Two Kitties,09-14-2006 ,55,"Animation, Comedy, Family, Adventure", Released, English,60000000,147985373,AU
I Still Believe,03-13-2020 ,76,"Music, Drama, Romance", Released, English,12000000,16703751,US
"Good Luck to You, Leo Grande",08-18-2022 ,70,"Comedy, Romance, Drama", Released, English,18392400,7589829,AU
Transporter 3,01-28-2009 ,61,"Action, Adventure, Thriller, Crime", Released, English,40000000,112930957,AU
Coming to America,08-25-1988 ,69,"Comedy, Romance", Released, English,39000000,288752301,AU
Rumble,03-28-2022 ,69,"Animation, Family", Released, English,82500000,370310855,AU
Delicious Room Salon Service,2018-09-08,68,Romance, Released, Korean,78200000,360564423,KR
Barbie: Spy Squad,2016-01-03,69,"Action, Animation, Family", Released, English,171580000,545463333,US
Sarah's Key,12-23-2010 ,73,"Drama, War", Released, French,10000000,17511906,AU
Regular Show: The Movie,11-28-2015 ,79,"Animation, Comedy, Science Fiction, TV Movie", Released, English,3000000,57447845,AU
The Bourne Ultimatum,08-17-2007 ,74,"Action, Drama, Mystery, Thriller", Released, English,130000000,444043396,AU
V for Vendetta,03-30-2006 ,79,"Action, Thriller, Science Fiction", Released, English,50000000,130214162,AU
AVP: Alien vs. Predator,09-30-2004 ,59,"Adventure, Science Fiction, Action, Horror", Released, English,70000000,177427090,AU
Pandemic,2016-05-10,49,"Action, Science Fiction, Horror", Released, English,136400000,856238148,AU
Dungeons & Dragons: The Book of Vile Darkness,11-23-2012 ,43,"Adventure, Fantasy, TV Movie", Released, English,12000000,1647998,US
Double Impact,10-23-1991 ,61,"Thriller, Action, Crime, Drama", Released, English,16000000,29090445,AU
The Greatest Showman,12-26-2017 ,79,Drama, Released, English,84000000,430782826,AU
The Fly,02-13-1987 ,74,"Horror, Science Fiction", Released, English,15000000,60629159,GB
No Game No Life: Zero,07-15-2017 ,79,"Animation, Action, Drama", Released, Japanese,44401333,6000000,JP
Centauro,06-15-2022 ,63,"Action, Crime, Thriller", Released," Spanish, Castilian",134000000,465164351,SG
The Little Things,02-18-2021 ,63,"Crime, Drama, Thriller", Released, English,30000000,29735222,AU
Unforgetful Holiday,1992-01-10,55,Drama, Released, Cantonese,142000000,454488626,HK
Freaky Friday,09-18-2003 ,64,"Comedy, Family, Fantasy", Released, English,26000000,160822438,AU
The Wind Rises,02-27-2014 ,78,"Drama, Animation, War, Romance", Released, Japanese,30000000,117932401,AU
RED 2,2013-01-08,65,"Action, Comedy, Crime, Thriller", Released, English,84000000,141507355,AU
Atomic Blonde,2017-03-08,64,"Action, Thriller", Released, English,30000000,98345423,AU
The Last Witch Hunter,10-29-2015 ,59,"Fantasy, Action, Adventure", Released, English,80000000,130818912,AU
The Corpse of Anna Fritz,10-30-2015 ,69,"Drama, Thriller", Released," Spanish, Castilian",121860000,565610065,ES
Bosomy Tae-hee,02-27-2020 ,65,Romance, Released, Korean,66400000,489432271,KR
The Price of Family,12-19-2022 ,65,Comedy, Released, Italian,100000000,246367071,IT
Fatherhood,06-18-2021 ,76,"Drama, Comedy", Released, English,138000000,263222987,AU
Young Aunt 2,08-22-2019 ,10,Romance, Released, Korean,201940000,38157314,KR
Rumble in the Bronx,05-16-1996 ,68,"Crime, Action, Comedy, Thriller", Released, Cantonese,7500000,36238752,AU
Magic Mike XXL,2015-09-07,62,"Comedy, Drama", Released, English,14500000,123580421,AU
Idiocracy,2007-03-01,63,"Comedy, Science Fiction, Adventure", Released, English,2400000,500296,AU
Basic Instinct,05-14-1992 ,69,"Thriller, Mystery", Released, English,49000000,352927224,AU
Infidelity in Suburbia,02-25-2017 ,64,"Thriller, TV Movie", Released, English,51400000,286421986,US
How to Blow Up a Pipeline,2023-07-04,70,"Crime, Drama, Thriller", Released, English,62955400,524079721,US
Hostel,02-23-2006 ,59,Horror, Released, English,4800000,82241110,AU
Level 16,03-15-2019 ,68,"Science Fiction, Thriller", Released, English,53740900,15575,CA
Pinocchio,09-29-2020 ,66,"Drama, Family, Fantasy", Released, Italian,45000000,31681811,AU
Pinocchio,09-29-2020 ,66,"Drama, Family, Fantasy", Released, Italian,13200000,30360375,AU
Pinocchio,09-29-2020 ,66,"Drama, Family, Fantasy", Released, Italian,2289247,84300000,AU
The Key,10-19-1983 ,60,"Drama, Romance", Released, Italian,140200000,132578311,IT
Leroy & Stitch,06-23-2006 ,66,"Animation, Comedy, Family", Released, English,122000000,515729606,US
Ride or Die,04-15-2021 ,65,"Drama, Romance, Thriller", Released, Japanese,151140000,486537878,JP
Space Jam,1996-12-12,68,"Family, Animation, Comedy, Science Fiction", Released, English,80000000,250180384,AU
